Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
bootstrap,MIT,http://www.opensource.org/licenses/MIT,npm,bootstrap:5.3.3,npm://bootstrap,5.3.3
caffeine-3.1.8.jar,Apache-2.0,http://licenses.nuget.org/Apache-2.0,generic,caffeine-3.1.8.jar,generic://sha256:7dd15f9df1be238ffaa367ce6f556737a88031de4294dad18eef57c474ddf1d3/caffeine-3.1.8.jar,
ch.qos.logback:logback-classic,"EPL-1.0,LGPL-2.1","http://www.eclipse.org/legal/epl-v10.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",maven,ch.qos.logback:logback-classic:1.5.16,gav://ch.qos.logback:logback-classic,1.5.16
ch.qos.logback:logback-core,"EPL-1.0,LGPL-2.1","http://www.eclipse.org/legal/epl-v10.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",maven,ch.qos.logback:logback-core:1.5.16,gav://ch.qos.logback:logback-core,1.5.16
com.fasterxml.jackson.core:jackson-annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-annotations:2.18.2,gav://com.fasterxml.jackson.core:jackson-annotations,2.18.2
com.fasterxml.jackson.core:jackson-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-core:2.18.2,gav://com.fasterxml.jackson.core:jackson-core,2.18.2
com.fasterxml.jackson.core:jackson-databind,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-databind:2.18.2,gav://com.fasterxml.jackson.core:jackson-databind,2.18.2
com.fasterxml.jackson.datatype:jackson-datatype-jdk8,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.18.2,gav://com.fasterxml.jackson.datatype:jackson-datatype-jdk8,2.18.2
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.18.2,gav://com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.18.2
com.fasterxml.jackson.module:jackson-module-parameter-names,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.module:jackson-module-parameter-names:2.18.2,gav://com.fasterxml.jackson.module:jackson-module-parameter-names,2.18.2
