Component,Version in use,Risk,Risk Reason,EOL,Released on,Latest Version,Cadence,Committers,Commits
font-awesome,4.7.0,High,Health,false,2016-10-24T21:33:40Z,4.7.0,0,N/A,N/A
oracle:openjdk,17.0.2,High,Number of new versions,Unknown,2025-05-25T11:05:52Z,,N/A,N/A,N/A
javax.cache:cache-api,1.1.1,High,Health,Unknown,2019-05-10T06:07:36Z,1.1.1,0,N/A,N/A
org.apache.tomcat.embed:tomcat-embed-core,10.1.34,None,None,Unknown,2024-12-05T17:06:00Z,11.0.7,10,N/A,N/A
org.hibernate.common:hibernate-commons-annotations,7.0.3.Final,None,None,Unknown,2024-10-21T07:30:00Z,7.0.3.Final,4,N/A,N/A
org.webjars:webjars-locator-lite,1.0.1,None,None,Unknown,2024-10-31T16:30:34Z,1.1.0,2,N/A,N/A
io.smallrye:jandex,3.2.0,None,None,Unknown,2024-05-16T13:00:09Z,3.3.1,10,N/A,N/A
net.bytebuddy:byte-buddy,1.15.11,None,None,Unknown,2024-12-15T09:09:00Z,1.17.5,10,N/A,N/A
org.springframework:spring-web,6.2.2,None,None,Unknown,2025-01-16T08:39:00Z,7.0.0-M5,10,N/A,N/A
com.fasterxml.jackson.core:jackson-core,2.18.2,None,None,Unknown,2024-11-28T00:56:00Z,2.19.0,10,N/A,N/A
org.postgresql:postgresql,42.7.5,None,None,Unknown,2025-01-14T14:58:00Z,42.7.6,2,N/A,N/A
org.slf4j:jul-to-slf4j,2.0.16,None,None,Unknown,2024-08-10T09:16:00Z,2.1.0-alpha1,4,N/A,N/A
org.springframework.boot:spring-boot-starter-jdbc,3.4.2,None,None,Unknown,2025-01-23T13:02:00Z,3.5.0,10,N/A,N/A
org.springframework.boot:spring-boot-starter-json,3.4.2,None,None,Unknown,2025-01-23T13:02:00Z,3.5.0,10,N/A,N/A
org.webjars.npm:font-awesome,4.7.0,High,Health,Unknown,2016-11-09T13:17:29Z,4.7.0,0,N/A,N/A
org.latencyutils:LatencyUtils,2.0.3,High,Health,Unknown,2015-12-15T20:28:28Z,2.0.3,0,N/A,N/A
org.springframework.boot:spring-boot-actuator-autoconfigure,3.4.2,None,None,Unknown,2025-01-23T13:03:00Z,3.5.0,10,N/A,N/A
org.apache.logging.log4j:log4j-to-slf4j,2.24.3,None,None,Unknown,2024-12-10T10:51:00Z,3.0.0-beta2,4,N/A,N/A
org.apache.tomcat.embed:tomcat-embed-websocket,10.1.34,None,None,Unknown,2024-12-05T17:07:00Z,11.0.7,10,N/A,N/A
org.springframework.boot:spring-boot-starter-validation,3.4.2,None,None,Unknown,2025-01-23T13:01:00Z,3.5.0,10,N/A,N/A
org.jboss.logging:jboss-logging,3.6.1.Final,High,Health,Unknown,2024-09-09T15:35:00Z,3.6.1.Final,1,N/A,N/A
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.18.2,None,None,Unknown,2024-11-28T01:56:00Z,2.19.0,10,N/A,N/A
org.antlr:antlr4-runtime,4.13.0,None,None,Unknown,2023-05-21T17:28:37Z,4.13.2,1,N/A,N/A
org.checkerframework:checker-qual,3.48.3,None,None,Unknown,2024-12-02T18:21:00Z,3.49.3,10,N/A,N/A
