Summary,CVEs,Severity,Jfrog Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Source Id,Component Physical Paths,Applicability
"Dpkg::Source::Archive in dpkg, the Debian package management system, before version 1.21.8, 1.20.10, 1.19.8, 1.18.26 is prone to a directory traversal vulnerability. When extracting untrusted source packages in v2 and v3 source package formats that include a debian.tar, the in-place extraction can lead to directory traversal situations on specially crafted orig.tar and debian.tar tarballs.",CVE-2022-1664,Critical,Medium,security,JFrog,debian:bullseye:dpkg,< 1.20.10,1.20.10,2022-09-04T15:24:00Z,debian:bullseye:dpkg,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-22,XRAY-210934,false,deb://debian:bullseye:dpkg:1.20.9,deb://debian:bullseye:dpkg,,Applicable
A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.,CVE-2023-4911,High,High,security,JFrog,debian:bullseye:libc-bin,< 2.31-13+deb11u7,2.31-13+deb11u7,0001-01-01T00:00:00Z,debian:bullseye:glibc,,7.8/CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-787,XRAY-532786,false,deb://debian:bullseye:libc-bin:2.31-13+deb11u3,deb://debian:bullseye:libc-bin,,Applicable
A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.,CVE-2023-4911,High,High,security,JFrog,debian:bullseye:libc6,< 2.31-13+deb11u7,2.31-13+deb11u7,0001-01-01T00:00:00Z,debian:bullseye:glibc,,7.8/CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-787,XRAY-532786,false,deb://debian:bullseye:libc-bin:2.31-13+deb11u3,deb://debian:bullseye:libc6,,Applicable
"Path Equivalence: 'file.Name' (Internal Dot) leading to Remote Code Execution and/or Information disclosure and/or malicious content added to uploaded files via write enabled Default Servlet in Apache Tomcat.

This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.2, from 10.1.0-M1 through 10.1.34, from 9.0.0.M1 through 9.0.98.

If all of the following were true, a malicious user was able to view       security sensitive files and/or inject content into those files:
- writes enabled for the default servlet (disabled by default)
- support for partial PUT (enabled by default)
- a target URL for security sensitive uploads that was a sub-directory of a target URL for public uploads
- attacker knowledge of the names of security sensitive files being uploaded
- the security sensitive files also being uploaded via partial PUT

If all of the following were true, a malicious user was able to       perform remote code execution:
- writes enabled for the default servlet (disabled by default)
- support for partial PUT (enabled by default)
- application was using Tomcat's file based session persistence with the default storage location
- application included a library that may be leveraged in a deserialization attack

Users are recommended to upgrade to version 11.0.3, 10.1.35 or 9.0.99, which fixes the issue.",CVE-2025-24813,Critical,High,security,JFrog,org.apache.tomcat.embed:tomcat-embed-core,"10.1.0-M1 ≤ Version < 10.1.35,11.0.0-M1 ≤ Version < 11.0.3,9.0.0.M1 ≤ Version < 9.0.99","10.1.35,11.0.3,9.0.99",0001-01-01T00:00:00Z,org.apache.tomcat.embed:tomcat-embed-core,,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"CWE-502,CWE-706,CWE-44",XRAY-676707,false,gav://org.apache.tomcat.embed:tomcat-embed-core:10.1.34,gav://org.apache.tomcat.embed:tomcat-embed-core,"sha256__e4ff3aae9ce49045db764b3a0f6726c96355b1169a38c48c9488266c146585c6.tar.gz/usr/local/spring-petclinic/spring-petclinic-3.4.0-SNAPSHOT.jar/META-INF/sbom/application.cdx.json/org.springframework.samples:spring-petclinic:3.4.0-SNAPSHOT/gav:/org.apache.tomcat.embed:tomcat-embed-core:10.1.34/org.apache.tomcat.embed:tomcat-embed-core:10.1.34;
sha256__e4ff3aae9ce49045db764b3a0f6726c96355b1169a38c48c9488266c146585c6.tar.gz/usr/local/spring-petclinic/spring-petclinic-3.4.0-SNAPSHOT.jar/BOOT-INF/lib/tomcat-embed-core-10.1.34.jar;
sha256__e4ff3aae9ce49045db764b3a0f6726c96355b1169a38c48c9488266c146585c6.tar.gz/usr/local/spring-petclinic/META-INF/sbom/application.cdx.json/org.springframework.samples:spring-petclinic:3.4.0-SNAPSHOT/gav:/org.apache.tomcat.embed:tomcat-embed-core:10.1.34/org.apache.tomcat.embed:tomcat-embed-core:10.1.34",Not Applicable
"MiniZip in zlib through 1.3 has an integer overflow and resultant heap-based buffer overflow in zipOpenNewFileInZip4_64 via a long filename, comment, or extra field. NOTE: MiniZip is not a supported part of the zlib product. NOTE: pyminizip through 0.2.6 is also vulnerable because it bundles an affected zlib version, and exposes the applicable MiniZip code through its compress API.",CVE-2023-45853,Critical,High,security,JFrog,debian:bullseye:zlib1g,All Versions,,0001-01-01T00:00:00Z,debian:bullseye:zlib,,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-190,XRAY-533715,false,deb://debian:bullseye:zlib1g:1:1.2.11.dfsg-2+deb11u1,deb://debian:bullseye:zlib1g,,Not Applicable
"zlib through 1.2.12 has a heap-based buffer over-read or buffer overflow in inflate in inflate.c via a large gzip header extra field. NOTE: only applications that call inflateGetHeader are affected. Some common applications bundle the affected zlib source code but may be unable to call inflateGetHeader (e.g., see the nodejs/node reference).",CVE-2022-37434,Critical,High,security,JFrog,debian:bullseye:zlib1g,< 1:1.2.11.dfsg-2+deb11u2,1:1.2.11.dfsg-2+deb11u2,2023-01-08T19:26:00Z,debian:bullseye:zlib,,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-787,XRAY-248452,false,deb://debian:bullseye:zlib1g:1:1.2.11.dfsg-2+deb11u1,deb://debian:bullseye:zlib1g,,Not Applicable
"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can cause invalid memory reads during GSS message token handling by sending message tokens with invalid length fields.",CVE-2024-37371,Critical,Medium,security,JFrog,debian:bullseye:libk5crypto3,< 1.18.3-6+deb11u5,1.18.3-6+deb11u5,0001-01-01T00:00:00Z,debian:bullseye:krb5,,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,NVD-CWE-Other,XRAY-607813,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libk5crypto3,,Not Applicable
"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can cause invalid memory reads during GSS message token handling by sending message tokens with invalid length fields.",CVE-2024-37371,Critical,Medium,security,JFrog,debian:bullseye:libkrb5support0,< 1.18.3-6+deb11u5,1.18.3-6+deb11u5,0001-01-01T00:00:00Z,debian:bullseye:krb5,,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,NVD-CWE-Other,XRAY-607813,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libkrb5support0,,Not Applicable
"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can cause invalid memory reads during GSS message token handling by sending message tokens with invalid length fields.",CVE-2024-37371,Critical,Medium,security,JFrog,debian:bullseye:libgssapi-krb5-2,< 1.18.3-6+deb11u5,1.18.3-6+deb11u5,0001-01-01T00:00:00Z,debian:bullseye:krb5,,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,NVD-CWE-Other,XRAY-607813,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libgssapi-krb5-2,,Not Applicable
"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can cause invalid memory reads during GSS message token handling by sending message tokens with invalid length fields.",CVE-2024-37371,Critical,Medium,security,JFrog,debian:bullseye:libkrb5-3,< 1.18.3-6+deb11u5,1.18.3-6+deb11u5,0001-01-01T00:00:00Z,debian:bullseye:krb5,,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,NVD-CWE-Other,XRAY-607813,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libkrb5-3,,Not Applicable
